district_encoded,property_type_encoded,bedrooms,bathrooms,house_size,land_size,bed_bath_ratio,total_rooms,has_house_size,has_land_size,is_apartment,log_house_size,log_land_size
5,0,3,1,1400.0,17.0,3.0,4,1,1,0,7.244941546337007,2.8903717578961645
3,0,5,4,5230.0,10.0,1.25,9,1,1,0,8.562357743370612,2.3978952727983707
8,0,4,2,2400.0,12.5,2.0,6,1,1,0,7.783640596221253,2.6026896854443837
3,0,5,3,1951.0,10.0,1.6666666666666667,8,1,1,0,7.5766097669730375,2.3978952727983707
3,0,4,3,3500.0,8.0,1.3333333333333333,7,1,1,0,8.160803920954665,2.1972245773362196
3,0,9,8,9000.0,20.0,1.125,17,1,1,0,9.105090961257085,3.044522437723423
3,0,4,3,2871.0,6.5,1.3333333333333333,7,1,1,0,7.962763930168115,2.0149030205422647
3,0,4,4,2700.0,6.5,1.0,8,1,1,0,7.901377353792616,2.0149030205422647
3,0,5,5,5400.0,21.0,1.0,10,1,1,0,8.594339400592892,3.091042453358316
3,0,5,4,4850.0,21.5,1.25,9,1,1,0,8.486940148245216,3.1135153092103742
3,0,4,4,4000.0,8.0,1.0,8,1,1,0,8.294299608857235,2.1972245773362196
3,0,5,8,9000.0,31.0,0.625,13,1,1,0,9.105090961257085,3.4657359027997265
3,0,5,4,3000.0,12.0,1.25,9,1,1,0,8.006700845440367,2.5649493574615367
3,0,2,1,1500.0,12.5,2.0,3,1,1,0,7.313886831633462,2.6026896854443837
5,0,3,2,1625.0,10.0,1.5,5,1,1,0,7.3938782901077555,2.3978952727983707
3,0,5,3,2500.0,20.0,1.6666666666666667,8,1,1,0,7.824445930877619,3.044522437723423
5,0,4,3,3250.0,10.0,1.3333333333333333,7,1,1,0,8.086717920303906,2.3978952727983707
3,0,5,1,1420.0,16.5,5.0,6,1,1,0,7.259116128097101,2.8622008809294686
3,0,4,5,3300.0,9.4,0.8,9,1,1,0,8.101980731853192,2.341805806147327
5,0,4,3,3500.0,10.0,1.3333333333333333,7,1,1,0,8.160803920954665,2.3978952727983707
3,0,3,2,1400.0,9.9,1.5,5,1,1,0,7.244941546337007,2.388762789235098
3,0,3,2,2276.0,8.1,1.5,5,1,1,0,7.7306140660637395,2.2082744135228043
3,0,4,3,3400.0,7.0,1.3333333333333333,7,1,1,0,8.131824785007195,2.0794415416798357
3,0,3,2,750.0,2.5,1.5,5,1,1,0,6.621405651764134,1.252762968495368
16,0,3,1,1200.0,40.0,3.0,4,1,1,0,7.0909098220799835,3.713572066704308
3,0,4,4,2600.0,7.0,1.0,8,1,1,0,7.8636512654486515,2.0794415416798357
3,0,4,6,3500.0,7.0,0.6666666666666666,10,1,1,0,8.160803920954665,2.0794415416798357
5,0,3,1,1500.0,18.0,3.0,4,1,1,0,7.313886831633462,2.9444389791664403
3,0,3,2,1600.0,6.0,1.5,5,1,1,0,7.3783837129967145,1.9459101490553132
3,0,6,4,2315.0,8.5,1.5,10,1,1,0,7.7475968386928855,2.2512917986064953
3,0,5,4,4200.0,7.18,1.25,9,1,1,0,8.343077871169383,2.1016921506146558
5,0,4,3,3700.0,12.5,1.3333333333333333,7,1,1,0,8.216358332386156,2.6026896854443837
3,0,5,2,2938.0,10.0,2.5,7,1,1,0,7.985824666418917,2.3978952727983707
3,0,4,3,3200.0,8.2,1.3333333333333333,7,1,1,0,8.071218539969863,2.2192034840549946
3,0,9,8,4500.0,14.5,1.125,17,1,1,0,8.412054873292933,2.740840023925201
3,0,3,2,1380.0,8.0,1.5,5,1,1,0,7.2305631534092925,2.1972245773362196
5,0,4,3,3500.0,10.0,1.3333333333333333,7,1,1,0,8.160803920954665,2.3978952727983707
3,0,5,2,2000.0,10.0,2.5,7,1,1,0,7.601402334583733,2.3978952727983707
3,0,3,3,2350.0,7.0,1.0,6,1,1,0,7.762596048540069,2.0794415416798357
3,0,4,3,3480.0,7.0,1.3333333333333333,7,1,1,0,8.15507488781144,2.0794415416798357
3,0,4,5,4050.0,9.1,0.8,9,1,1,0,8.30671904320269,2.312535423847214
3,0,4,4,3720.0,10.1,1.0,8,1,1,0,8.221747728346623,2.4069451083182885
3,0,3,2,2000.0,6.0,1.5,5,1,1,0,7.601402334583733,1.9459101490553132
3,0,5,5,3517.0,20.0,1.0,10,1,1,0,8.165647925297504,3.044522437723423
